Contract,Par.Cov,Par.St,Par.Comb,Tot.Cov,Tot.St,Tot.Comb
AlgoTether,73.6,74.55,74.55,74.55,72.1,74.55
ExchangeToken,71.5,71.5,71.5,71.5,69.98,71.5
1,48.65,48.65,48.65,48.65,48.65,48.65
4,61.19,61.19,61.19,61.19,61.19,61.19
5,69.72,69.72,69.72,69.72,69.72,69.72
8,68.48,68.48,68.48,68.48,68.48,68.48
12,68.88,68.88,68.88,68.88,68.88,68.88
13,68.88,68.88,68.88,68.88,68.88,68.88
14,68.88,68.88,68.88,68.88,68.88,68.88
15,68.88,68.88,68.88,68.88,68.88,68.88
17,67.77,67.77,67.77,67.77,67.77,67.77
18,68.88,68.88,68.88,68.88,68.88,68.88
19,55.46,55.46,55.46,55.46,51.03,55.46
25,53.52,53.52,53.52,53.52,53.52,53.52
